"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_11950085",0.191396496625657,74469.0100219508,"Lake Superior",74.4690100219508
"nhd_11950087",0.210748608152916,66481.7875037465,"Lake Superior",66.4817875037465
"nhd_11950091",0.202743377953701,71088.9920322121,"Lake Superior",71.0889920322121
"nhd_11950093",0.213336875353174,70988.5221435782,"Lake Superior",70.9885221435782
"nhd_11950099",0.219359950348981,65510.2233307242,"Lake Superior",65.5102233307242
"nhd_11950117",0.219567264032583,67321.8273859614,"Lake Superior",67.3218273859614
"nhd_11950121",0.194298441326253,73618.9427137367,"Lake Superior",73.6189427137367
"nhd_11950145",0.197680525376346,74840.7753434026,"Lake Superior",74.8407753434026
"nhd_11950147",0.212215651398584,68058.389958751,"Lake Superior",68.058389958751
"nhd_11950185",0.212879933438041,66816.0604380315,"Lake Superior",66.8160604380315
"nhd_11950245",0.211844229279045,67308.4150279553,"Lake Superior",67.3084150279553
"nhd_11950261",0.218091037174696,71760.4882553176,"Lake Superior",71.7604882553176
"nhd_11950275",0.214246830659414,73537.3218694155,"Lake Superior",73.5373218694155
"nhd_11950283",0.197940262753145,76057.4674623002,"Lake Superior",76.0574674623002
"nhd_11950285",0.21064913060647,74087.3144693978,"Lake Superior",74.0873144693978
"nhd_11950297",0.215137095747374,67804.3320619921,"Lake Superior",67.8043320619921
"nhd_11950309",0.215279916857723,70385.7395475706,"Lake Superior",70.3857395475706
"nhd_11950315",0.214320511323802,71216.8280666413,"Lake Superior",71.2168280666413
"nhd_11950321",0.206244986224577,73050.5898664782,"Lake Superior",73.0505898664782
"nhd_11950323",0.194304272260661,72291.8559768302,"Lake Superior",72.2918559768302
"nhd_11950391",0.217355126963571,72154.4648428212,"Lake Superior",72.1544648428212
"nhd_11950417",0.218804329565661,71651.7227247506,"Lake Superior",71.6517227247506
"nhd_11950425",0.209817037009228,75785.115812874,"Lake Superior",75.785115812874
"nhd_11950445",0.195459980537924,76819.6049182351,"Lake Superior",76.8196049182351
"nhd_11950529",0.218929705515011,76080.3320734453,"Lake Superior",76.0803320734453
"nhd_11950551",0.196992341498022,78076.9017792958,"Lake Superior",78.0769017792958
"nhd_11950581",0.217159031406658,76494.9324966711,"Lake Superior",76.4949324966711
"nhd_11950635",0.213269823122483,78003.8929083764,"Lake Superior",78.0038929083764
"nhd_11950663",0.22456007042377,78567.19124219,"Lake Superior",78.56719124219
"nhd_11950665",0.219038731545586,79614.9291521934,"Lake Superior",79.6149291521934
"nhd_11957964",0.280002636982597,28472.9854911974,"Lake Superior",28.4729854911974
"nhd_11957970",0.264963298407266,32301.6711506149,"Lake Superior",32.3016711506149
"nhd_11957982",0.322414283216164,26588.7296804198,"Lake Superior",26.5887296804198
"nhd_11958048",0.317174928682428,29960.3022756141,"Lake Superior",29.9603022756141
"nhd_11958148",0.331435127621358,28940.4969045072,"Lake Superior",28.9404969045072
"nhd_11958758",0.268870755349989,38877.6497864961,"Lake Superior",38.8776497864961
"nhd_11958784",0.308450593611388,30718.0301727716,"Lake Superior",30.7180301727716
"nhd_11958820",0.427927746231724,11791.2301677501,"Lake Superior",11.7912301677501
"nhd_11958824",0.372981889021858,19435.5818595488,"Lake Superior",19.4355818595488
"nhd_11958920",0.329354336612894,33913.2397178771,"Lake Superior",33.9132397178771
"nhd_11958922",0.432435663416881,13520.9262564607,"Lake Superior",13.5209262564607
"nhd_11958984",0.361856868771853,17571.9040512875,"Lake Superior",17.5719040512875
"nhd_11959024",0.356294060152586,20450.6631588402,"Lake Superior",20.4506631588402
"nhd_11959062",0.297320594737552,39041.1404863729,"Lake Superior",39.0411404863729
"nhd_11959074",0.364918829314303,26657.7844296671,"Lake Superior",26.6577844296671
"nhd_11959086",0.355611631389308,21807.8149831995,"Lake Superior",21.8078149831995
"nhd_11959120",0.353827189758358,23897.7658642988,"Lake Superior",23.8977658642988
"nhd_11959124",0.378133384484682,23853.5350046633,"Lake Superior",23.8535350046633
